Wavelength [nm], Irradiance
8.374881343533253357e+02,1.676941342548582126e-01
8.373961433042353519e+02,1.677920530719989034e-01
8.373040294349428905e+02,1.702645032048012985e-01
8.372117928121398336e+02,1.674085377048645240e-01
8.371194335025179498e+02,1.707296175862195453e-01
8.370269515727691214e+02,1.681592486362764871e-01
8.369343470895851169e+02,1.663069510120317729e-01
8.368416201196578186e+02,1.711947319676378199e-01
8.367487707296789949e+02,1.701380247326612360e-01
8.366557989863405282e+02,1.694852326183899638e-01
8.365627049563343007e+02,1.715496876797728276e-01
8.364694887063520810e+02,1.695749915341022707e-01
8.363761503030857511e+02,1.709784945797854783e-01
8.362826898132269662e+02,1.678450924312834269e-01
8.361891073034678357e+02,1.666007074634538454e-01
8.360954028405000145e+02,1.704073014797981289e-01
8.360015764910153848e+02,1.684244454326991602e-01
8.359076283217057153e+02,1.687141219334070408e-01
8.358135583992628881e+02,1.743240541654256792e-01
8.357193667903787855e+02,1.665680678577402818e-01
8.356250535617450623e+02,1.694974724705325675e-01
8.355306187800538282e+02,1.665843876605970497e-01
8.354360625119967381e+02,1.696239509426726022e-01
8.353413848242655604e+02,1.700564257183773131e-01
8.352465857835522911e+02,1.691261969555407640e-01
8.351516654565486988e+02,1.727002337811759103e-01
8.350566239099465520e+02,1.685060444469830832e-01
8.349614612104377329e+02,1.699952264576643779e-01
8.348661774247141238e+02,1.687957209476909637e-01
8.347707726194673796e+02,1.685958033626953900e-01
8.346752468613896099e+02,1.708193765019318522e-01
8.345796002171723558e+02,1.692812350826801981e-01
8.344838327535077269e+02,1.690037984341149213e-01
8.343879445370873782e+02,1.695749915341022707e-01
8.342919356346030781e+02,1.693954737026776847e-01
8.341958061127468227e+02,1.689752387791155497e-01
8.340995560382103804e+02,1.714395290104895608e-01
8.340031854776856335e+02,1.682857271084165218e-01
8.339066944978643505e+02,1.689017996662600385e-01
8.338100831654383001e+02,1.694933925198183478e-01
8.337133515470994780e+02,1.687222818348354247e-01
8.336164997095396529e+02,1.699013875912379068e-01
8.335195277194504797e+02,1.691669964626827394e-01
8.334224356435240679e+02,1.695301120762461311e-01
8.333252235484520725e+02,1.706520985226498421e-01
8.332278915009263756e+02,1.694158734562486446e-01
8.331304395676388594e+02,1.688365204548329113e-01
8.330328678152812927e+02,1.669719829784456211e-01
8.329351763105454438e+02,1.684856446934120955e-01
8.328373651201233088e+02,1.698279484783823678e-01
8.327394343107066561e+02,1.684611649891269436e-01
8.326413839489872544e+02,1.692485954769666345e-01
8.325432141016568721e+02,1.727777528447456412e-01
8.324449248354076190e+02,1.707826569455040966e-01
8.323465162169310361e+02,1.694199534069628366e-01
8.322479883129191194e+02,1.686243630176947339e-01
8.321493411900636374e+02,1.691996360683963030e-01
8.320505749150563588e+02,1.681592486362764871e-01
8.319516895545892794e+02,1.697218697598132930e-01
8.318526851753541678e+02,1.683265266155584972e-01
8.317535618440427925e+02,1.677471736141427361e-01
8.316543196273470357e+02,1.700645856198057249e-01
8.315549585919586661e+02,1.683265266155584972e-01
8.314554788045696796e+02,1.688324405041187193e-01
8.313558803318717310e+02,1.665925475620254614e-01
8.312561632405567025e+02,1.719780825047633466e-01
8.311563275973164764e+02,1.691425167583975597e-01
8.310563734688428212e+02,1.694077135548202606e-01
8.309563009218276193e+02,1.703624220219419616e-01
8.308561100229626391e+02,1.700890653240908768e-01
8.307558008389397628e+02,1.707989767483608923e-01
8.306553734364508728e+02,1.671637406620128108e-01
8.305548278821876238e+02,1.687549214405489884e-01
8.304541642428421255e+02,1.694933925198183478e-01
8.303533825851059191e+02,1.684448451862701479e-01
8.302524829756710005e+02,1.703461022190851937e-01
8.301514654812291383e+02,1.692730751812518142e-01
8.300503301684723283e+02,1.686855622784076691e-01
8.299490771040921118e+02,1.658377566798993064e-01
8.298477063547804846e+02,1.703909816769413332e-01
